county,fips,pollutant,val,population
Appling,13001,"1,1,2-TRICHLOROETHANE",0.0,18236
Appling,13001,"1,3-BUTADIENE",0.000982606841305,18236
Appling,13001,"1,4-DICHLOROBENZENE",0.0,18236
Appling,13001,"1,4-DIOXANE",0.0,18236
Appling,13001,"2,4,6-TRICHLOROPHENOL",0.0,18236
Appling,13001,"2,4-DINITROTOLUENE",0.0,18236
Appling,13001,"2,4-TOLUENE DIISOCYANATE",0.0,18236
Appling,13001,2-NITROPROPANE,0.0,18236
Appling,13001,ACETALDEHYDE,0.0009105369462350001,18236
Appling,13001,ACETAMIDE,0.0,18236
Appling,13001,ACRYLONITRILE,0.0,18236
Appling,13001,ALLYL CHLORIDE,0.0,18236
Appling,13001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0016340689302249997,18236
Appling,13001,BENZENE,0.0036519636768459996,18236
Appling,13001,BENZYL CHLORIDE,0.0,18236
Appling,13001,BERYLLIUM COMPOUNDS,0.0,18236
Appling,13001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,18236
Appling,13001,CADMIUM COMPOUNDS,0.0,18236
Appling,13001,CARBON TETRACHLORIDE,0.0,18236
Appling,13001,CHLOROPRENE,0.0,18236
Appling,13001,CHROMIUM VI (HEXAVALENT),0.001132056717642,18236
Appling,13001,EPICHLOROHYDRIN,0.0,18236
Appling,13001,ETHYLBENZENE,0.000133167954339,18236
Appling,13001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0,18236
Appling,13001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,18236
Appling,13001,ETHYLENE OXIDE,0.0,18236
Appling,13001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,18236
Appling,13001,FORMALDEHYDE,0.010478083173995,18236
Appling,13001,HEXACHLOROBENZENE,0.0,18236
Appling,13001,HEXACHLOROBUTADIENE,0.0,18236
Appling,13001,METHYL TERT-BUTYL ETHER,0.0,18236
Appling,13001,METHYLENE CHLORIDE,0.0,18236
Appling,13001,NAPHTHALENE,0.0060431646721699995,18236
Appling,13001,NICKEL COMPOUNDS,0.00121340836233,18236
Appling,13001,NITROBENZENE,0.0,18236
Appling,13001,O-TOLUIDINE,0.0,18236
Appling,13001,PAHPOM,0.00045281048922400007,18236
Appling,13001,PENTACHLOROPHENOL,0.0,18236
Appling,13001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,18236
Appling,13001,PROPYLENE OXIDE,0.0,18236
Appling,13001,TETRACHLOROETHYLENE,0.0,18236
Appling,13001,TRICHLOROETHYLENE,0.0,18236
Appling,13001,VINYL CHLORIDE,0.0,18236
Atkinson,13003,"1,1,2-TRICHLOROETHANE",0.0,8375
Atkinson,13003,"1,3-BUTADIENE",0.000757609869394,8375
Atkinson,13003,"1,3-DICHLOROPROPENE",0.0,8375
Atkinson,13003,"1,4-DICHLOROBENZENE",0.0,8375
Atkinson,13003,"1,4-DIOXANE",0.0,8375
Atkinson,13003,"2,4,6-TRICHLOROPHENOL",0.0,8375
Atkinson,13003,"2,4-DINITROTOLUENE",0.0,8375
Atkinson,13003,"2,4-TOLUENE DIISOCYANATE",0.0,8375
Atkinson,13003,2-NITROPROPANE,0.0,8375
Atkinson,13003,ACETALDEHYDE,0.000723751350204,8375
Atkinson,13003,ACETAMIDE,0.0,8375
Atkinson,13003,ACRYLONITRILE,0.0,8375
Atkinson,13003,ALLYL CHLORIDE,0.0,8375
Atkinson,13003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0016175798509620001,8375
Atkinson,13003,BENZENE,0.0030631953877670003,8375
