county,fips,pollutant,val,population
Addison,50001,"1,1,2-TRICHLOROETHANE",0.0,36821
Addison,50001,"1,3-BUTADIENE",0.051099616618489996,36821
Addison,50001,"1,4-DICHLOROBENZENE",0.0,36821
Addison,50001,"1,4-DIOXANE",0.0,36821
Addison,50001,"2,4,6-TRICHLOROPHENOL",0.0,36821
Addison,50001,"2,4-DINITROTOLUENE",0.0,36821
Addison,50001,"2,4-TOLUENE DIISOCYANATE",0.0,36821
Addison,50001,2-NITROPROPANE,0.0,36821
Addison,50001,ACETALDEHYDE,0.006558299125218,36821
Addison,50001,ACETAMIDE,0.0,36821
Addison,50001,ACRYLONITRILE,0.0,36821
Addison,50001,ALLYL CHLORIDE,0.0,36821
Addison,50001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.000871844579177,36821
Addison,50001,BENZENE,0.29566810527616305,36821
Addison,50001,BENZYL CHLORIDE,0.0,36821
Addison,50001,BERYLLIUM COMPOUNDS,0.0,36821
Addison,50001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,36821
Addison,50001,BROMOFORM,0.0,36821
Addison,50001,CADMIUM COMPOUNDS,0.0,36821
Addison,50001,CARBON TETRACHLORIDE,0.0,36821
Addison,50001,CHLOROPRENE,0.0,36821
Addison,50001,CHROMIUM VI (HEXAVALENT),1.2589146641e-05,36821
Addison,50001,EPICHLOROHYDRIN,0.0,36821
Addison,50001,ETHYLBENZENE,0.044353448904185994,36821
Addison,50001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0,36821
Addison,50001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,36821
Addison,50001,ETHYLENE OXIDE,0.0,36821
Addison,50001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,36821
Addison,50001,FORMALDEHYDE,0.036699654012015,36821
Addison,50001,HEXACHLOROBENZENE,0.0,36821
Addison,50001,HEXACHLOROBUTADIENE,0.0,36821
Addison,50001,METHYL TERT-BUTYL ETHER,0.0,36821
Addison,50001,METHYLENE CHLORIDE,0.0,36821
Addison,50001,NAPHTHALENE,0.062249103817097,36821
Addison,50001,NICKEL COMPOUNDS,5.638333839600001e-05,36821
Addison,50001,NITROBENZENE,0.0,36821
Addison,50001,O-TOLUIDINE,0.0,36821
Addison,50001,PAHPOM,0.002845373529397,36821
Addison,50001,PENTACHLOROPHENOL,0.0,36821
Addison,50001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0,36821
Addison,50001,PROPYLENE OXIDE,0.0,36821
Addison,50001,TETRACHLOROETHYLENE,0.0,36821
Addison,50001,TRICHLOROETHYLENE,0.0,36821
Addison,50001,VINYL CHLORIDE,0.0,36821
Bennington,50003,"1,1,2-TRICHLOROETHANE",0.0,37125
Bennington,50003,"1,3-BUTADIENE",0.019427215918799,37125
Bennington,50003,"1,3-DICHLOROPROPENE",0.0,37125
Bennington,50003,"1,4-DICHLOROBENZENE",0.0,37125
Bennington,50003,"1,4-DIOXANE",0.0,37125
Bennington,50003,"2,4,6-TRICHLOROPHENOL",0.0,37125
Bennington,50003,"2,4-DINITROTOLUENE",0.0,37125
Bennington,50003,"2,4-TOLUENE DIISOCYANATE",0.0,37125
Bennington,50003,2-NITROPROPANE,0.0,37125
Bennington,50003,4-DIMETHYLAMINOAZOBENZENE,0.0,37125
Bennington,50003,ACETALDEHYDE,0.002158336689035,37125
Bennington,50003,ACETAMIDE,0.0,37125
Bennington,50003,ACRYLAMIDE,0.0,37125
Bennington,50003,ACRYLONITRILE,0.0,37125
Bennington,50003,ALLYL CHLORIDE,0.0,37125
Bennington,50003,ANILINE,0.0,37125
Bennington,50003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.000369302430501,37125
Bennington,50003,BENZENE,0.11012635368664399,37125
Bennington,50003,BENZIDINE,0.0,37125
Bennington,50003,BENZYL CHLORIDE,0.0,37125
Bennington,50003,BERYLLIUM COMPOUNDS,0.0,37125
Bennington,50003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,37125
Bennington,50003,BROMOFORM,0.0,37125
Bennington,50003,CADMIUM COMPOUNDS,0.0,37125
Bennington,50003,CARBON TETRACHLORIDE,0.0,37125
Bennington,50003,CHLOROPRENE,0.0,37125
Bennington,50003,CHROMIUM VI (HEXAVALENT),1.0913940483e-05,37125
Bennington,50003,EPICHLOROHYDRIN,0.0,37125
Bennington,50003,ETHYL CARBAMATE (URETHANE) CHLORIDE (CHLOROETHANE),0.0,37125
Bennington,50003,ETHYLBENZENE,0.024644051598207,37125
Bennington,50003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0,37125
Bennington,50003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,37125
Bennington,50003,ETHYLENE OXIDE,0.0,37125
Bennington,50003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,37125
