county,fips,pollutant,val
Carson city,32510,"1,1,2-TRICHLOROETHANE",0.0
Carson city,32510,"1,3-BUTADIENE",0.004197576355989999
Carson city,32510,"1,3-DICHLOROPROPENE",0.0
Carson city,32510,"1,4-DICHLOROBENZENE",0.0
Carson city,32510,"1,4-DIOXANE",0.0
Carson city,32510,"2,4,6-TRICHLOROPHENOL",0.0
Carson city,32510,"2,4-DINITROTOLUENE",0.0
Carson city,32510,"2,4-TOLUENE DIISOCYANATE",0.0
Carson city,32510,2-NITROPROPANE,0.0
Carson city,32510,ACETALDEHYDE,0.003960712973365
Carson city,32510,ACETAMIDE,0.0
Carson city,32510,ACRYLONITRILE,0.0
Carson city,32510,ALLYL CHLORIDE,0.0
Carson city,32510,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Carson city,32510,BENZENE,0.004859196392856
Carson city,32510,BENZYL CHLORIDE,0.0
Carson city,32510,BERYLLIUM COMPOUNDS,0.0
Carson city,32510,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Carson city,32510,CADMIUM COMPOUNDS,0.0
Carson city,32510,CARBON TETRACHLORIDE,0.0
Carson city,32510,CHLOROPRENE,0.0
Carson city,32510,CHROMIUM VI (HEXAVALENT),0.0
Carson city,32510,EPICHLOROHYDRIN,0.0
Carson city,32510,ETHYLBENZENE,0.0003957382500909999
Carson city,32510,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Carson city,32510,ETHYLENE OXIDE,0.0
Carson city,32510,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Carson city,32510,FORMALDEHYDE,0.052244485171417
Carson city,32510,HEXACHLOROBENZENE,0.0
Carson city,32510,HEXACHLOROBUTADIENE,0.0
Carson city,32510,METHYL TERT-BUTYL ETHER,0.0
Carson city,32510,METHYLENE CHLORIDE,0.0
Carson city,32510,NAPHTHALENE,0.019687741917632
Carson city,32510,NICKEL COMPOUNDS,0.0
Carson city,32510,NITROBENZENE,0.0
Carson city,32510,O-TOLUIDINE,0.0
Carson city,32510,PAHPOM,0.000731152561253
Carson city,32510,PENTACHLOROPHENOL,0.0
Carson city,32510,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Carson city,32510,PROPYLENE OXIDE,0.0
Carson city,32510,TETRACHLOROETHYLENE,0.0
Carson city,32510,TRICHLOROETHYLENE,0.0
Carson city,32510,VINYL CHLORIDE,0.0
Churchill,32001,"1,1,2-TRICHLOROETHANE",0.0
Churchill,32001,"1,3-BUTADIENE",0.004659319528764
Churchill,32001,"1,4-DICHLOROBENZENE",0.0
Churchill,32001,"1,4-DIOXANE",0.0
Churchill,32001,"2,4,6-TRICHLOROPHENOL",0.0
Churchill,32001,"2,4-DINITROTOLUENE",0.0
Churchill,32001,"2,4-TOLUENE DIISOCYANATE",0.0
Churchill,32001,2-NITROPROPANE,0.0
Churchill,32001,ACETALDEHYDE,0.0038504471197190002
Churchill,32001,ACETAMIDE,0.0
Churchill,32001,ACRYLONITRILE,0.0
Churchill,32001,ALLYL CHLORIDE,0.0
Churchill,32001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Churchill,32001,BENZENE,0.0077445984827959995
Churchill,32001,BENZYL CHLORIDE,0.0
Churchill,32001,BERYLLIUM COMPOUNDS,0.0
Churchill,32001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Churchill,32001,CADMIUM COMPOUNDS,0.0
Churchill,32001,CARBON TETRACHLORIDE,0.0
Churchill,32001,CHLOROPRENE,0.0
Churchill,32001,CHROMIUM VI (HEXAVALENT),0.0
Churchill,32001,EPICHLOROHYDRIN,0.0
Churchill,32001,ETHYLBENZENE,0.0004417313822
Churchill,32001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Churchill,32001,ETHYLENE OXIDE,0.0
Churchill,32001,FORMALDEHYDE,0.057830385004993
Churchill,32001,HEXACHLOROBENZENE,0.0
Churchill,32001,HEXACHLOROBUTADIENE,0.0
Churchill,32001,METHYL TERT-BUTYL ETHER,0.0
Churchill,32001,METHYLENE CHLORIDE,0.0
Churchill,32001,NAPHTHALENE,0.021951783700724998
Churchill,32001,NICKEL COMPOUNDS,0.0
Churchill,32001,NITROBENZENE,0.0
Churchill,32001,O-TOLUIDINE,0.0
Churchill,32001,PAHPOM,0.001222694104496
Churchill,32001,PENTACHLOROPHENOL,0.0
Churchill,32001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Churchill,32001,PROPYLENE OXIDE,0.0
Churchill,32001,TETRACHLOROETHYLENE,0.0
Churchill,32001,TRICHLOROETHYLENE,0.0
Churchill,32001,VINYL CHLORIDE,0.0
Clark,32003,"1,1,2-TRICHLOROETHANE",0.0
Clark,32003,"1,3-BUTADIENE",0.004255786767326
Clark,32003,"1,3-DICHLOROPROPENE",0.0
Clark,32003,"1,4-DICHLOROBENZENE",0.0
Clark,32003,"1,4-DIOXANE",0.0
Clark,32003,"2,4,6-TRICHLOROPHENOL",0.0
Clark,32003,"2,4-DINITROTOLUENE",0.0
Clark,32003,"2,4-TOLUENE DIISOCYANATE",0.0
Clark,32003,2-NITROPROPANE,0.0
Clark,32003,ACETALDEHYDE,0.004568080401854
Clark,32003,ACETAMIDE,0.0
Clark,32003,ACRYLONITRILE,0.0
Clark,32003,ALLYL CHLORIDE,0.0
Clark,32003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Clark,32003,BENZENE,0.004465387596932999
Clark,32003,BENZYL CHLORIDE,0.0
Clark,32003,BERYLLIUM COMPOUNDS,0.0
Clark,32003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Clark,32003,BROMOFORM,0.0
Clark,32003,CADMIUM COMPOUNDS,0.0
Clark,32003,CARBON TETRACHLORIDE,0.0
Clark,32003,CHLOROPRENE,0.0
Clark,32003,CHROMIUM VI (HEXAVALENT),0.0
Clark,32003,EPICHLOROHYDRIN,0.0
Clark,32003,ETHYLBENZENE,0.00039404273668400004
Clark,32003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Clark,32003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Clark,32003,ETHYLENE OXIDE,0.0
Clark,32003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Clark,32003,FORMALDEHYDE,0.06152392592670901
Clark,32003,HEXACHLOROBENZENE,0.0
Clark,32003,HEXACHLOROBUTADIENE,0.0
Clark,32003,METHYL TERT-BUTYL ETHER,0.0
Clark,32003,METHYLENE CHLORIDE,0.0
Clark,32003,NAPHTHALENE,0.019861412497891005
Clark,32003,NICKEL COMPOUNDS,0.0
Clark,32003,NITROBENZENE,0.0
Clark,32003,O-TOLUIDINE,0.0
Clark,32003,PAHPOM,0.0006552639850449999
Clark,32003,PROPYLENE OXIDE,0.0
Clark,32003,TETRACHLOROETHYLENE,0.0
Clark,32003,TRICHLOROETHYLENE,0.0
Clark,32003,VINYL CHLORIDE,0.0
Douglas,32005,"1,1,2-TRICHLOROETHANE",0.0
Douglas,32005,"1,3-BUTADIENE",0.002648035308343
Douglas,32005,"1,3-DICHLOROPROPENE",0.0
Douglas,32005,"1,4-DICHLOROBENZENE",0.0
Douglas,32005,"1,4-DIOXANE",0.0
Douglas,32005,"2,4,6-TRICHLOROPHENOL",0.0
Douglas,32005,"2,4-DINITROTOLUENE",0.0
