county,fips,pollutant,val
Adams,38001,"1,1,2-TRICHLOROETHANE",0.0
Adams,38001,"1,3-BUTADIENE",0.0
Adams,38001,"1,3-DICHLOROPROPENE",0.0
Adams,38001,"1,4-DICHLOROBENZENE",0.0
Adams,38001,"1,4-DIOXANE",0.0
Adams,38001,"2,4,6-TRICHLOROPHENOL",0.0
Adams,38001,"2,4-DINITROTOLUENE",0.0
Adams,38001,"2,4-TOLUENE DIISOCYANATE",0.0
Adams,38001,2-NITROPROPANE,0.0
Adams,38001,ACETALDEHYDE,0.219915492957745
Adams,38001,ACETAMIDE,0.0
Adams,38001,ACRYLONITRILE,0.0
Adams,38001,ALLYL CHLORIDE,0.0
Adams,38001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Adams,38001,BENZENE,0.0
Adams,38001,BENZYL CHLORIDE,0.0
Adams,38001,BERYLLIUM COMPOUNDS,0.0
Adams,38001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Adams,38001,CADMIUM COMPOUNDS,0.0
Adams,38001,CARBON TETRACHLORIDE,0.0
Adams,38001,CHLOROPRENE,0.0
Adams,38001,CHROMIUM VI (HEXAVALENT),0.0
Adams,38001,EPICHLOROHYDRIN,0.0
Adams,38001,ETHYLBENZENE,0.0
Adams,38001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Adams,38001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Adams,38001,ETHYLENE OXIDE,0.0
Adams,38001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Adams,38001,FORMALDEHYDE,1.438433632095603
Adams,38001,HEXACHLOROBENZENE,0.0
Adams,38001,HEXACHLOROBUTADIENE,0.0
Adams,38001,METHYL TERT-BUTYL ETHER,0.0
Adams,38001,METHYLENE CHLORIDE,0.0
Adams,38001,NAPHTHALENE,0.0
Adams,38001,NICKEL COMPOUNDS,0.0
Adams,38001,NITROBENZENE,0.0
Adams,38001,O-TOLUIDINE,0.0
Adams,38001,PAHPOM,0.0
Adams,38001,PROPYLENE OXIDE,0.0
Adams,38001,TETRACHLOROETHYLENE,0.0
Adams,38001,TRICHLOROETHYLENE,0.0
Adams,38001,VINYL CHLORIDE,0.0
Barnes,38003,"1,1,2-TRICHLOROETHANE",0.0
Barnes,38003,"1,3-BUTADIENE",0.0
Barnes,38003,"1,4-DICHLOROBENZENE",0.0
Barnes,38003,"1,4-DIOXANE",0.0
Barnes,38003,"2,4,6-TRICHLOROPHENOL",0.0
Barnes,38003,"2,4-DINITROTOLUENE",0.0
Barnes,38003,"2,4-TOLUENE DIISOCYANATE",0.0
Barnes,38003,2-NITROPROPANE,0.0
Barnes,38003,ACETALDEHYDE,0.18892067594433398
Barnes,38003,ACETAMIDE,0.0
Barnes,38003,ACRYLONITRILE,0.0
Barnes,38003,ALLYL CHLORIDE,0.0
Barnes,38003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Barnes,38003,BENZENE,0.0
Barnes,38003,BENZYL CHLORIDE,0.0
Barnes,38003,BERYLLIUM COMPOUNDS,0.0
Barnes,38003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Barnes,38003,CADMIUM COMPOUNDS,0.0
Barnes,38003,CARBON TETRACHLORIDE,0.0
Barnes,38003,CHLOROPRENE,0.0
Barnes,38003,CHROMIUM VI (HEXAVALENT),0.0
Barnes,38003,EPICHLOROHYDRIN,0.0
Barnes,38003,ETHYLBENZENE,0.0
Barnes,38003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Barnes,38003,ETHYLENE OXIDE,0.0
Barnes,38003,FORMALDEHYDE,1.2083339056569689
Barnes,38003,HEXACHLOROBENZENE,0.0
Barnes,38003,HEXACHLOROBUTADIENE,0.0
Barnes,38003,METHYL TERT-BUTYL ETHER,0.0
Barnes,38003,METHYLENE CHLORIDE,0.0
Barnes,38003,NAPHTHALENE,0.0
Barnes,38003,NICKEL COMPOUNDS,0.0
Barnes,38003,NITROBENZENE,0.0
Barnes,38003,O-TOLUIDINE,0.0
Barnes,38003,PAHPOM,0.0
Barnes,38003,PROPYLENE OXIDE,0.0
Barnes,38003,TETRACHLOROETHYLENE,0.0
Barnes,38003,TRICHLOROETHYLENE,0.0
Barnes,38003,VINYL CHLORIDE,0.0
Benson,38005,"1,1,2-TRICHLOROETHANE",0.0
Benson,38005,"1,3-BUTADIENE",0.0
Benson,38005,"1,4-DICHLOROBENZENE",0.0
Benson,38005,"1,4-DIOXANE",0.0
Benson,38005,"2,4,6-TRICHLOROPHENOL",0.0
Benson,38005,"2,4-DINITROTOLUENE",0.0
Benson,38005,"2,4-TOLUENE DIISOCYANATE",0.0
Benson,38005,2-NITROPROPANE,0.0
Benson,38005,ACETALDEHYDE,0.184528138138138
Benson,38005,ACETAMIDE,0.0
Benson,38005,ACRYLONITRILE,0.0
Benson,38005,ALLYL CHLORIDE,0.0
Benson,38005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Benson,38005,BENZENE,0.0
Benson,38005,BENZYL CHLORIDE,0.0
Benson,38005,BERYLLIUM COMPOUNDS,0.0
Benson,38005,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Benson,38005,CADMIUM COMPOUNDS,0.0
Benson,38005,CARBON TETRACHLORIDE,0.0
Benson,38005,CHLOROPRENE,0.0
Benson,38005,CHROMIUM VI (HEXAVALENT),0.0
Benson,38005,EPICHLOROHYDRIN,0.0
Benson,38005,ETHYLBENZENE,0.0
Benson,38005,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Benson,38005,ETHYLENE OXIDE,0.0
Benson,38005,FORMALDEHYDE,1.170771021021018
Benson,38005,HEXACHLOROBENZENE,0.0
Benson,38005,HEXACHLOROBUTADIENE,0.0
Benson,38005,METHYL TERT-BUTYL ETHER,0.0
Benson,38005,METHYLENE CHLORIDE,0.0
Benson,38005,NAPHTHALENE,0.0
Benson,38005,NICKEL COMPOUNDS,0.0
Benson,38005,NITROBENZENE,0.0
Benson,38005,O-TOLUIDINE,0.0
Benson,38005,PAHPOM,0.0
Benson,38005,PROPYLENE OXIDE,0.0
Benson,38005,TETRACHLOROETHYLENE,0.0
Benson,38005,TRICHLOROETHYLENE,0.0
Benson,38005,VINYL CHLORIDE,0.0
Billings,38007,"1,1,2-TRICHLOROETHANE",0.0
Billings,38007,"1,3-BUTADIENE",0.0
Billings,38007,"1,3-DICHLOROPROPENE",0.0
Billings,38007,"1,4-DICHLOROBENZENE",0.0
Billings,38007,"1,4-DIOXANE",0.0
Billings,38007,"2,4,6-TRICHLOROPHENOL",0.0
Billings,38007,"2,4-DINITROTOLUENE",0.0
Billings,38007,"2,4-TOLUENE DIISOCYANATE",0.0
Billings,38007,2-NITROPROPANE,0.0
Billings,38007,ACETALDEHYDE,0.21534993614303802
Billings,38007,ACETAMIDE,0.0
Billings,38007,ACRYLONITRILE,0.0
Billings,38007,ALLYL CHLORIDE,0.0
Billings,38007,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Billings,38007,BENZENE,0.0
Billings,38007,BENZYL CHLORIDE,0.0
Billings,38007,BERYLLIUM COMPOUNDS,0.0
Billings,38007,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Billings,38007,BROMOFORM,0.0
Billings,38007,CADMIUM COMPOUNDS,0.0
Billings,38007,CARBON TETRACHLORIDE,0.0
Billings,38007,CHLOROPRENE,0.0
Billings,38007,CHROMIUM VI (HEXAVALENT),0.0
Billings,38007,EPICHLOROHYDRIN,0.0
Billings,38007,ETHYLBENZENE,0.0
Billings,38007,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Billings,38007,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Billings,38007,ETHYLENE OXIDE,0.0
Billings,38007,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Billings,38007,FORMALDEHYDE,1.377468710089394
Billings,38007,HEXACHLOROBENZENE,0.0
Billings,38007,HEXACHLOROBUTADIENE,0.0
Billings,38007,METHYL TERT-BUTYL ETHER,0.0
Billings,38007,METHYLENE CHLORIDE,0.0
Billings,38007,NAPHTHALENE,0.0
Billings,38007,NICKEL COMPOUNDS,0.0
Billings,38007,NITROBENZENE,0.0
Billings,38007,O-TOLUIDINE,0.0
Billings,38007,PAHPOM,0.0
Billings,38007,PROPYLENE OXIDE,0.0
Billings,38007,TETRACHLOROETHYLENE,0.0
Billings,38007,TRICHLOROETHYLENE,0.0
Billings,38007,VINYL CHLORIDE,0.0
Bottineau,38009,"1,1,2-TRICHLOROETHANE",0.0
Bottineau,38009,"1,3-BUTADIENE",0.0
Bottineau,38009,"1,3-DICHLOROPROPENE",0.0
Bottineau,38009,"1,4-DICHLOROBENZENE",0.0
Bottineau,38009,"1,4-DIOXANE",0.0
Bottineau,38009,"2,4,6-TRICHLOROPHENOL",0.0
Bottineau,38009,"2,4-DINITROTOLUENE",0.0
Bottineau,38009,"2,4-TOLUENE DIISOCYANATE",0.0
Bottineau,38009,2-NITROPROPANE,0.0
Bottineau,38009,ACETALDEHYDE,0.189491553896407
Bottineau,38009,ACETAMIDE,0.0
Bottineau,38009,ACRYLONITRILE,0.0
Bottineau,38009,ALLYL CHLORIDE,0.0
Bottineau,38009,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Bottineau,38009,BENZENE,0.0
Bottineau,38009,BENZYL CHLORIDE,0.0
Bottineau,38009,BERYLLIUM COMPOUNDS,0.0
Bottineau,38009,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Bottineau,38009,CADMIUM COMPOUNDS,0.0
Bottineau,38009,CARBON TETRACHLORIDE,0.0
Bottineau,38009,CHLOROPRENE,0.0
Bottineau,38009,CHROMIUM VI (HEXAVALENT),0.0
Bottineau,38009,EPICHLOROHYDRIN,0.0
Bottineau,38009,ETHYLBENZENE,0.0
Bottineau,38009,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Bottineau,38009,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Bottineau,38009,ETHYLENE OXIDE,0.0
Bottineau,38009,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Bottineau,38009,FORMALDEHYDE,1.204597915694506
Bottineau,38009,HEXACHLOROBENZENE,0.0
Bottineau,38009,HEXACHLOROBUTADIENE,0.0
Bottineau,38009,METHYL TERT-BUTYL ETHER,0.0
Bottineau,38009,METHYLENE CHLORIDE,0.0
Bottineau,38009,NAPHTHALENE,0.0
Bottineau,38009,NICKEL COMPOUNDS,0.0
Bottineau,38009,NITROBENZENE,0.0
Bottineau,38009,O-TOLUIDINE,0.0
Bottineau,38009,PAHPOM,0.0
Bottineau,38009,PROPYLENE OXIDE,0.0
Bottineau,38009,TETRACHLOROETHYLENE,0.0
Bottineau,38009,TRICHLOROETHYLENE,0.0
Bottineau,38009,VINYL CHLORIDE,0.0
Bowman,38011,"1,1,2-TRICHLOROETHANE",0.0
Bowman,38011,"1,3-BUTADIENE",0.0
Bowman,38011,"1,3-DICHLOROPROPENE",0.0
Bowman,38011,"1,4-DICHLOROBENZENE",0.0
Bowman,38011,"1,4-DIOXANE",0.0
Bowman,38011,"2,4,6-TRICHLOROPHENOL",0.0
Bowman,38011,"2,4-DINITROTOLUENE",0.0
Bowman,38011,"2,4-TOLUENE DIISOCYANATE",0.0
Bowman,38011,2-NITROPROPANE,0.0
Bowman,38011,ACETALDEHYDE,0.238225579181212
Bowman,38011,ACETAMIDE,0.0
Bowman,38011,ACRYLONITRILE,0.0
Bowman,38011,ALLYL CHLORIDE,0.0
Bowman,38011,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Bowman,38011,BENZENE,0.0
Bowman,38011,BENZYL CHLORIDE,0.0
Bowman,38011,BERYLLIUM COMPOUNDS,0.0
Bowman,38011,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Bowman,38011,BROMOFORM,0.0
Bowman,38011,CADMIUM COMPOUNDS,0.0
Bowman,38011,CARBON TETRACHLORIDE,0.0
Bowman,38011,CHLOROPRENE,0.0
Bowman,38011,CHROMIUM VI (HEXAVALENT),0.0
Bowman,38011,EPICHLOROHYDRIN,0.0
Bowman,38011,ETHYLBENZENE,0.0
Bowman,38011,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Bowman,38011,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Bowman,38011,ETHYLENE OXIDE,0.0
Bowman,38011,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Bowman,38011,FORMALDEHYDE,1.5526562995874351
Bowman,38011,HEXACHLOROBENZENE,0.0
Bowman,38011,HEXACHLOROBUTADIENE,0.0
Bowman,38011,METHYL TERT-BUTYL ETHER,0.0
Bowman,38011,METHYLENE CHLORIDE,0.0
Bowman,38011,NAPHTHALENE,0.0
Bowman,38011,NICKEL COMPOUNDS,0.0
Bowman,38011,NITROBENZENE,0.0
Bowman,38011,O-TOLUIDINE,0.0
Bowman,38011,PAHPOM,0.0
Bowman,38011,PROPYLENE OXIDE,0.0
Bowman,38011,TETRACHLOROETHYLENE,0.0
Bowman,38011,TRICHLOROETHYLENE,0.0
Bowman,38011,VINYL CHLORIDE,0.0
Burke,38013,"1,1,2-TRICHLOROETHANE",0.0
Burke,38013,"1,3-BUTADIENE",0.0
Burke,38013,"1,3-DICHLOROPROPENE",0.0
Burke,38013,"1,4-DICHLOROBENZENE",0.0
Burke,38013,"1,4-DIOXANE",0.0
Burke,38013,"2,4,6-TRICHLOROPHENOL",0.0
Burke,38013,"2,4-DINITROTOLUENE",0.0
Burke,38013,"2,4-TOLUENE DIISOCYANATE",0.0
Burke,38013,2-NITROPROPANE,0.0
Burke,38013,ACETALDEHYDE,0.184491463414634
Burke,38013,ACETAMIDE,0.0
Burke,38013,ACRYLONITRILE,0.0
Burke,38013,ALLYL CHLORIDE,0.0
