county,fips,pollutant,val
Autauga,1001,"1,1,2-TRICHLOROETHANE",0.0
Autauga,1001,"1,3-BUTADIENE",0.0
Autauga,1001,"1,4-DICHLOROBENZENE",0.0
Autauga,1001,"1,4-DIOXANE",0.0
Autauga,1001,"2,4,6-TRICHLOROPHENOL",0.0
Autauga,1001,"2,4-DINITROTOLUENE",0.0
Autauga,1001,"2,4-TOLUENE DIISOCYANATE",0.0
Autauga,1001,2-NITROPROPANE,0.0
Autauga,1001,ACETALDEHYDE,1.085271114694618
Autauga,1001,ACETAMIDE,0.0
Autauga,1001,ACRYLONITRILE,0.0
Autauga,1001,ALLYL CHLORIDE,0.0
Autauga,1001,ANILINE,0.0
Autauga,1001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Autauga,1001,BENZENE,0.0
Autauga,1001,BENZYL CHLORIDE,0.0
Autauga,1001,BERYLLIUM COMPOUNDS,0.0
Autauga,1001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Autauga,1001,BROMOFORM,0.0
Autauga,1001,CADMIUM COMPOUNDS,0.0
Autauga,1001,CARBON TETRACHLORIDE,0.0
Autauga,1001,CHLOROPRENE,0.0
Autauga,1001,CHROMIUM VI (HEXAVALENT),0.0
Autauga,1001,EPICHLOROHYDRIN,0.0
Autauga,1001,ETHYLBENZENE,0.0
Autauga,1001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Autauga,1001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Autauga,1001,ETHYLENE OXIDE,0.0
Autauga,1001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Autauga,1001,FORMALDEHYDE,7.15751113228638
Autauga,1001,HEXACHLOROBENZENE,0.0
Autauga,1001,HEXACHLOROBUTADIENE,0.0
Autauga,1001,METHYL TERT-BUTYL ETHER,0.0
Autauga,1001,METHYLENE CHLORIDE,0.0
Autauga,1001,NAPHTHALENE,0.0
Autauga,1001,NICKEL COMPOUNDS,0.0
Autauga,1001,NITROBENZENE,0.0
Autauga,1001,O-TOLUIDINE,0.0
Autauga,1001,PAHPOM,0.0
Autauga,1001,PENTACHLOROPHENOL,0.0
Autauga,1001,PROPYLENE OXIDE,0.0
Autauga,1001,TETRACHLOROETHYLENE,0.0
Autauga,1001,TRICHLOROETHYLENE,0.0
Autauga,1001,VINYL CHLORIDE,0.0
Baldwin,1003,"1,1,2-TRICHLOROETHANE",0.0
Baldwin,1003,"1,3-BUTADIENE",0.0
