county,fips,pollutant,val
Alameda,6001,"1,4-DIOXANE",0.0
Alameda,6001,EPICHLOROHYDRIN,0.0
Alameda,6001,ETHYLBENZENE,0.005520825244108
Alameda,6001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Alameda,6001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Alameda,6001,ETHYLENE OXIDE,0.0
Alameda,6001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Alameda,6001,FORMALDEHYDE,0.0
Alameda,6001,HEXACHLOROBENZENE,0.0
Alameda,6001,HEXACHLOROBUTADIENE,0.0
Alameda,6001,METHYL TERT-BUTYL ETHER,0.0
Alameda,6001,METHYLENE CHLORIDE,0.0
Alameda,6001,NAPHTHALENE,0.0
Alameda,6001,NICKEL COMPOUNDS,0.0
Alameda,6001,NITROBENZENE,0.0
Alameda,6001,O-TOLUIDINE,0.0
Alameda,6001,PAHPOM,0.0
Alameda,6001,PENTACHLOROPHENOL,0.0
Alameda,6001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Alameda,6001,PROPYLENE OXIDE,0.0
Alameda,6001,TETRACHLOROETHYLENE,0.0
Alameda,6001,TRICHLOROETHYLENE,0.0
Alameda,6001,VINYL CHLORIDE,0.0
Alpine,6003,"1,4-DIOXANE",0.0
Alpine,6003,EPICHLOROHYDRIN,0.0
Alpine,6003,ETHYLBENZENE,0.000255446110518
Alpine,6003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Alpine,6003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Alpine,6003,ETHYLENE OXIDE,0.0
Alpine,6003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Alpine,6003,FORMALDEHYDE,0.0
Alpine,6003,HEXACHLOROBENZENE,0.0
Alpine,6003,HEXACHLOROBUTADIENE,0.0
Alpine,6003,METHYL TERT-BUTYL ETHER,0.0
Alpine,6003,METHYLENE CHLORIDE,0.0
Alpine,6003,NAPHTHALENE,0.0
Alpine,6003,NICKEL COMPOUNDS,0.0
Alpine,6003,NITROBENZENE,0.0
Alpine,6003,O-TOLUIDINE,0.0
Alpine,6003,PAHPOM,0.0
Alpine,6003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Alpine,6003,PROPYLENE OXIDE,0.0
Alpine,6003,TETRACHLOROETHYLENE,0.0
Alpine,6003,TRICHLOROETHYLENE,0.0
Alpine,6003,VINYL CHLORIDE,0.0
Amador,6005,"1,4-DIOXANE",0.0
Amador,6005,DICHLOROETHYL ETHER (BIS[2-CHLOROETHYL]ETHER),0.0
Amador,6005,EPICHLOROHYDRIN,0.0
Amador,6005,ETHYLBENZENE,0.000497377767466
Amador,6005,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Amador,6005,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Amador,6005,ETHYLENE OXIDE,0.0
