county,fips,pollutant,val
Hawaii,15001,"1,1,2-TRICHLOROETHANE",0.0
Hawaii,15001,"1,3-BUTADIENE",0.005566689315963
Hawaii,15001,"1,4-DICHLOROBENZENE",0.0
Hawaii,15001,"1,4-DIOXANE",0.0
Hawaii,15001,"2,4,6-TRICHLOROPHENOL",0.0
Hawaii,15001,"2,4-DINITROTOLUENE",0.0
Hawaii,15001,"2,4-TOLUENE DIISOCYANATE",0.0
Hawaii,15001,2-NITROPROPANE,0.0
Hawaii,15001,ACETALDEHYDE,0.00030537011312299997
Hawaii,15001,ACRYLONITRILE,0.0
Hawaii,15001,ALLYL CHLORIDE,0.0
Hawaii,15001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),3.7194855053e-05
Hawaii,15001,BENZENE,0.011447731592941003
Hawaii,15001,BENZYL CHLORIDE,0.0
Hawaii,15001,BERYLLIUM COMPOUNDS,0.0
Hawaii,15001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Hawaii,15001,CADMIUM COMPOUNDS,0.0
Hawaii,15001,CARBON TETRACHLORIDE,0.0
Hawaii,15001,CHLOROPRENE,0.0
Hawaii,15001,CHROMIUM VI (HEXAVALENT),3.6114820399999997e-07
Hawaii,15001,EPICHLOROHYDRIN,0.0
Hawaii,15001,ETHYLBENZENE,0.0016474869109329997
Hawaii,15001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Hawaii,15001,ETHYLENE OXIDE,0.0
Hawaii,15001,FORMALDEHYDE,0.00343569056169
Hawaii,15001,HEXACHLOROBENZENE,0.0
Hawaii,15001,HEXACHLOROBUTADIENE,0.0
Hawaii,15001,METHYL TERT-BUTYL ETHER,0.0
Hawaii,15001,METHYLENE CHLORIDE,0.0
Hawaii,15001,NAPHTHALENE,0.0012902825023839999
Hawaii,15001,NICKEL COMPOUNDS,2.0066984069999996e-06
Hawaii,15001,NITROBENZENE,0.0
Hawaii,15001,O-TOLUIDINE,0.0
Hawaii,15001,PAHPOM,0.0006925375867139999
Hawaii,15001,PENTACHLOROPHENOL,0.0
Hawaii,15001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Hawaii,15001,PROPYLENE OXIDE,0.0
Hawaii,15001,TETRACHLOROETHYLENE,0.0
Hawaii,15001,TRICHLOROETHYLENE,0.0
Hawaii,15001,VINYL CHLORIDE,0.0
Honolulu,15003,"1,1,2-TRICHLOROETHANE",0.0
Honolulu,15003,"1,3-BUTADIENE",0.024624654952639997
Honolulu,15003,"1,4-DICHLOROBENZENE",0.0
Honolulu,15003,"1,4-DIOXANE",0.0
Honolulu,15003,"2,4,6-TRICHLOROPHENOL",0.0
Honolulu,15003,"2,4-DINITROTOLUENE",0.0
Honolulu,15003,"2,4-TOLUENE DIISOCYANATE",0.0
Honolulu,15003,2-NITROPROPANE,0.0
Honolulu,15003,ACETALDEHYDE,0.001346243720704
Honolulu,15003,ACRYLONITRILE,0.0
Honolulu,15003,ALLYL CHLORIDE,0.0
Honolulu,15003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.00016607321467200002
Honolulu,15003,BENZENE,0.05061429679159
Honolulu,15003,BENZYL CHLORIDE,0.0
Honolulu,15003,BERYLLIUM COMPOUNDS,0.0
Honolulu,15003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Honolulu,15003,CADMIUM COMPOUNDS,0.0
Honolulu,15003,CARBON TETRACHLORIDE,0.0
Honolulu,15003,CHLOROPRENE,0.0
Honolulu,15003,CHROMIUM VI (HEXAVALENT),1.610684776e-06
Honolulu,15003,EPICHLOROHYDRIN,0.0
Honolulu,15003,ETHYLBENZENE,0.007275397317457
Honolulu,15003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Honolulu,15003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Honolulu,15003,ETHYLENE OXIDE,0.0
Honolulu,15003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Honolulu,15003,FORMALDEHYDE,0.015195737063133001
Honolulu,15003,HEXACHLOROBENZENE,0.0
Honolulu,15003,HEXACHLOROBUTADIENE,0.0
Honolulu,15003,METHYL TERT-BUTYL ETHER,0.0
Honolulu,15003,METHYLENE CHLORIDE,0.0
Honolulu,15003,NAPHTHALENE,0.005693757043904
Honolulu,15003,NICKEL COMPOUNDS,8.963608662999998e-06
Honolulu,15003,NITROBENZENE,0.0
Honolulu,15003,O-TOLUIDINE,0.0
Honolulu,15003,PAHPOM,0.0030744058678729997
Honolulu,15003,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Honolulu,15003,PROPYLENE OXIDE,0.0
Honolulu,15003,TETRACHLOROETHYLENE,0.0
Honolulu,15003,TRICHLOROETHYLENE,0.0
Honolulu,15003,VINYL CHLORIDE,0.0
Kalawao,15005,"1,1,2-TRICHLOROETHANE",0.0
Kalawao,15005,"1,3-BUTADIENE",0.00055390385982
Kalawao,15005,"1,4-DICHLOROBENZENE",0.0
Kalawao,15005,"1,4-DIOXANE",0.0
Kalawao,15005,"2,4,6-TRICHLOROPHENOL",0.0
Kalawao,15005,"2,4-DINITROTOLUENE",0.0
Kalawao,15005,"2,4-TOLUENE DIISOCYANATE",0.0
Kalawao,15005,2-NITROPROPANE,0.0
Kalawao,15005,ACETALDEHYDE,3.076218757e-05
Kalawao,15005,ACRYLONITRILE,0.0
Kalawao,15005,ALLYL CHLORIDE,0.0
Kalawao,15005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),3.7926731e-06
Kalawao,15005,BENZENE,0.001162888475346
Kalawao,15005,BENZYL CHLORIDE,0.0
Kalawao,15005,BERYLLIUM COMPOUNDS,0.0
Kalawao,15005,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Kalawao,15005,CADMIUM COMPOUNDS,0.0
