county,fips,pollutant,val
Fairfield,09001,"1,1,2-TRICHLOROETHANE",0.0
Fairfield,09001,"1,3-BUTADIENE",0.04293245519096
Fairfield,09001,"1,3-DICHLOROPROPENE",0.0
Fairfield,09001,"1,4-DICHLOROBENZENE",0.0
Fairfield,09001,"1,4-DIOXANE",0.0
Fairfield,09001,"2,4,6-TRICHLOROPHENOL",0.0
Fairfield,09001,"2,4-DINITROTOLUENE",0.0
Fairfield,09001,"2,4-TOLUENE DIISOCYANATE",0.0
Fairfield,09001,2-NITROPROPANE,0.0
Fairfield,09001,ACETALDEHYDE,0.006658112116721
Fairfield,09001,ACETAMIDE,0.0
Fairfield,09001,ACRYLAMIDE,0.0
Fairfield,09001,ACRYLONITRILE,0.0
Fairfield,09001,ALLYL CHLORIDE,0.0
Fairfield,09001,ANILINE,0.0
Fairfield,09001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0007950004179710002
Fairfield,09001,BENZENE,0.13332672531125098
Fairfield,09001,BENZYL CHLORIDE,0.0
Fairfield,09001,BERYLLIUM COMPOUNDS,0.0
Fairfield,09001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Fairfield,09001,BROMOFORM,0.0
Fairfield,09001,CADMIUM COMPOUNDS,0.0
Fairfield,09001,CARBON TETRACHLORIDE,0.0
Fairfield,09001,CHLOROPRENE,0.0
Fairfield,09001,CHROMIUM VI (HEXAVALENT),3.0120593558e-05
Fairfield,09001,EPICHLOROHYDRIN,0.0
Fairfield,09001,ETHYLBENZENE,0.009956343960434001
Fairfield,09001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Fairfield,09001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Fairfield,09001,ETHYLENE OXIDE,0.0
Fairfield,09001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Fairfield,09001,FORMALDEHYDE,0.099021044701627
Fairfield,09001,HEXACHLOROBENZENE,0.0
Fairfield,09001,HEXACHLOROBUTADIENE,0.0
Fairfield,09001,HYDRAZINE,0.0
Fairfield,09001,METHYL TERT-BUTYL ETHER,0.0
Fairfield,09001,METHYLENE CHLORIDE,0.0
Fairfield,09001,NAPHTHALENE,0.016273463502499
Fairfield,09001,NICKEL COMPOUNDS,0.00011770290989899998
Fairfield,09001,NITROBENZENE,0.0
