county,fips,pollutant,val,population
Aurora,46003,"1,1,2-TRICHLOROETHANE",0.0,2710
Aurora,46003,"1,3-BUTADIENE",0.00679969552293,2710
Aurora,46003,"1,4-DICHLOROBENZENE",0.0,2710
Aurora,46003,"1,4-DIOXANE",0.0,2710
Aurora,46003,"2,4,6-TRICHLOROPHENOL",0.0,2710
Aurora,46003,"2,4-DINITROTOLUENE",0.0,2710
Aurora,46003,"2,4-TOLUENE DIISOCYANATE",0.0,2710
Aurora,46003,2-NITROPROPANE,0.0,2710
Aurora,46003,ACETALDEHYDE,0.0011869858109689998,2710
Aurora,46003,ACETAMIDE,0.0,2710
Aurora,46003,ACRYLONITRILE,0.0,2710
Aurora,46003,ALLYL CHLORIDE,0.0,2710
Aurora,46003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0139427100659,2710
Aurora,46003,BENZENE,0.218728689342829,2710
Aurora,46003,BENZYL CHLORIDE,0.0,2710
Aurora,46003,BERYLLIUM COMPOUNDS,0.0,2710
Aurora,46003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,2710
Aurora,46003,CADMIUM COMPOUNDS,0.0,2710
Aurora,46003,CARBON TETRACHLORIDE,0.0,2710
Aurora,46003,CHLOROPRENE,0.0,2710
Aurora,46003,CHROMIUM VI (HEXAVALENT),0.002789663772,2710
Aurora,46003,EPICHLOROHYDRIN,0.0,2710
Aurora,46003,ETHYLBENZENE,0.0050803236978280005,2710
Aurora,46003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,2710
Aurora,46003,ETHYLENE OXIDE,0.0,2710
Aurora,46003,FORMALDEHYDE,0.006010104468341999,2710
Aurora,46003,HEXACHLOROBENZENE,0.0,2710
Aurora,46003,HEXACHLOROBUTADIENE,0.0,2710
Aurora,46003,METHYL TERT-BUTYL ETHER,0.0,2710
Aurora,46003,METHYLENE CHLORIDE,0.0,2710
Aurora,46003,NAPHTHALENE,0.0044240617025939994,2710
Aurora,46003,NICKEL COMPOUNDS,0.00179785760208,2710
Aurora,46003,NITROBENZENE,0.0,2710
Aurora,46003,O-TOLUIDINE,0.0,2710
Aurora,46003,PAHPOM,0.0008955609539710002,2710
Aurora,46003,PROPYLENE OXIDE,0.0,2710
Aurora,46003,TETRACHLOROETHYLENE,0.0,2710
