county,fips,pollutant,val
Belknap,33001,"1,1,2-TRICHLOROETHANE",0.0
Belknap,33001,"1,3-BUTADIENE",0.0
Belknap,33001,"1,3-DICHLOROPROPENE",0.0
Belknap,33001,"1,4-DICHLOROBENZENE",0.0
Belknap,33001,"1,4-DIOXANE",0.0
Belknap,33001,"2,4,6-TRICHLOROPHENOL",0.0
Belknap,33001,"2,4-DINITROTOLUENE",0.0
Belknap,33001,"2,4-TOLUENE DIISOCYANATE",0.0
Belknap,33001,2-NITROPROPANE,0.0
Belknap,33001,ACETALDEHYDE,0.0004959683785219999
Belknap,33001,ACETAMIDE,0.0
Belknap,33001,ACRYLONITRILE,0.0
Belknap,33001,ALLYL CHLORIDE,0.0
Belknap,33001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),1.7931620098000002e-05
Belknap,33001,BENZENE,0.012861040065893
Belknap,33001,BENZYL CHLORIDE,0.0
Belknap,33001,BERYLLIUM COMPOUNDS,4.1815209600000005e-07
Belknap,33001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Belknap,33001,BROMOFORM,0.0
Belknap,33001,CADMIUM COMPOUNDS,6.239649783199999e-05
Belknap,33001,CARBON TETRACHLORIDE,0.0
Belknap,33001,CHLOROPRENE,0.0
Belknap,33001,CHROMIUM VI (HEXAVALENT),2.7403323186e-05
Belknap,33001,EPICHLOROHYDRIN,0.0
Belknap,33001,ETHYLBENZENE,0.0006660439623380001
Belknap,33001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Belknap,33001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Belknap,33001,ETHYLENE OXIDE,0.0
Belknap,33001,ETHYLENE THIOUREA,0.0
Belknap,33001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Belknap,33001,FORMALDEHYDE,0.0030458462181479997
Belknap,33001,HEXACHLOROBENZENE,0.0
Belknap,33001,HEXACHLOROBUTADIENE,0.0
Belknap,33001,METHYL TERT-BUTYL ETHER,0.0
Belknap,33001,METHYLENE CHLORIDE,0.0
Belknap,33001,NAPHTHALENE,0.0009145601070310001
Belknap,33001,NICKEL COMPOUNDS,5.16632339e-06
Belknap,33001,NITROBENZENE,0.0
Belknap,33001,O-TOLUIDINE,0.0
Belknap,33001,PAHPOM,3.8262322984e-05
Belknap,33001,PENTACHLOROPHENOL,0.0
Belknap,33001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Belknap,33001,PROPYLENE OXIDE,0.0
Belknap,33001,TETRACHLOROETHYLENE,0.0
Belknap,33001,TRICHLOROETHYLENE,0.0
Belknap,33001,VINYL CHLORIDE,0.0
Carroll,33003,"1,1,2-TRICHLOROETHANE",0.0
Carroll,33003,"1,3-BUTADIENE",0.0
Carroll,33003,"1,3-DICHLOROPROPENE",0.0
Carroll,33003,"1,4-DICHLOROBENZENE",0.0
Carroll,33003,"1,4-DIOXANE",0.0
Carroll,33003,"2,4,6-TRICHLOROPHENOL",0.0
Carroll,33003,"2,4-DINITROTOLUENE",0.0
Carroll,33003,"2,4-TOLUENE DIISOCYANATE",0.0
Carroll,33003,2-NITROPROPANE,0.0
Carroll,33003,ACETALDEHYDE,0.00032861458020599997
Carroll,33003,ACETAMIDE,0.0
Carroll,33003,ACRYLAMIDE,0.0
Carroll,33003,ACRYLONITRILE,0.0
Carroll,33003,ALLYL CHLORIDE,0.0
Carroll,33003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),1.5513990438e-05
Carroll,33003,BENZENE,0.009237305384961
Carroll,33003,BENZYL CHLORIDE,0.0
Carroll,33003,BERYLLIUM COMPOUNDS,3.21254775e-07
Carroll,33003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Carroll,33003,BROMOFORM,0.0
Carroll,33003,CADMIUM COMPOUNDS,5.0939566915e-05
Carroll,33003,CARBON TETRACHLORIDE,0.0
Carroll,33003,CHLOROPRENE,0.0
Carroll,33003,CHROMIUM VI (HEXAVALENT),5.7427519521e-05
Carroll,33003,EPICHLOROHYDRIN,0.0
Carroll,33003,ETHYLBENZENE,0.000409602877193
Carroll,33003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Carroll,33003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Carroll,33003,ETHYLENE OXIDE,0.0
Carroll,33003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Carroll,33003,FORMALDEHYDE,0.0019997726147220002
Carroll,33003,HEXACHLOROBENZENE,0.0
