county,fips,pollutant,val,population
Adair,19001,"1,1,2-TRICHLOROETHANE",0.0,7682
Adair,19001,"1,3-BUTADIENE",0.0,7682
Adair,19001,"1,3-DICHLOROPROPENE",0.0,7682
Adair,19001,"1,4-DICHLOROBENZENE",0.0,7682
Adair,19001,"1,4-DIOXANE",0.0,7682
Adair,19001,"2,4,6-TRICHLOROPHENOL",0.0,7682
Adair,19001,"2,4-DINITROTOLUENE",0.0,7682
Adair,19001,"2,4-TOLUENE DIISOCYANATE",0.0,7682
Adair,19001,2-NITROPROPANE,0.0,7682
Adair,19001,ACETALDEHYDE,8.6200405328e-05,7682
Adair,19001,ACETAMIDE,0.0,7682
Adair,19001,ACRYLONITRILE,0.0,7682
Adair,19001,ALLYL CHLORIDE,0.0,7682
Adair,19001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),6.380957146199999e-05,7682
Adair,19001,BENZENE,0.006473385631321999,7682
Adair,19001,BENZYL CHLORIDE,0.0,7682
Adair,19001,BERYLLIUM COMPOUNDS,8.551978259999998e-07,7682
Adair,19001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,7682
Adair,19001,CADMIUM COMPOUNDS,0.00019777879410499998,7682
Adair,19001,CARBON TETRACHLORIDE,0.0,7682
Adair,19001,CHLOROPRENE,0.0,7682
Adair,19001,CHROMIUM VI (HEXAVALENT),0.00013427977406,7682
Adair,19001,EPICHLOROHYDRIN,0.0,7682
Adair,19001,ETHYLBENZENE,0.00015013973509700002,7682
Adair,19001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0,7682
Adair,19001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,7682
Adair,19001,ETHYLENE OXIDE,0.0,7682
Adair,19001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,7682
Adair,19001,FORMALDEHYDE,0.00050977391066,7682
Adair,19001,HEXACHLOROBENZENE,0.0,7682
Adair,19001,HEXACHLOROBUTADIENE,0.0,7682
Adair,19001,METHYL TERT-BUTYL ETHER,0.0,7682
Adair,19001,METHYLENE CHLORIDE,0.0,7682
Adair,19001,NAPHTHALENE,0.00016781225385900002,7682
Adair,19001,NICKEL COMPOUNDS,8.045039723999999e-06,7682
Adair,19001,NITROBENZENE,0.0,7682
Adair,19001,O-TOLUIDINE,0.0,7682
Adair,19001,PAHPOM,1.6199788749e-05,7682
Adair,19001,PROPYLENE OXIDE,0.0,7682
Adair,19001,TETRACHLOROETHYLENE,0.0,7682
Adair,19001,TRICHLOROETHYLENE,0.0,7682
Adair,19001,VINYL CHLORIDE,0.0,7682
Adams,19003,"1,1,2-TRICHLOROETHANE",0.0,4029
Adams,19003,"1,3-BUTADIENE",0.0,4029
Adams,19003,"1,3-DICHLOROPROPENE",0.0,4029
Adams,19003,"1,4-DICHLOROBENZENE",0.0,4029
Adams,19003,"1,4-DIOXANE",0.0,4029
Adams,19003,"2,4,6-TRICHLOROPHENOL",0.0,4029
Adams,19003,"2,4-DINITROTOLUENE",0.0,4029
Adams,19003,"2,4-TOLUENE DIISOCYANATE",0.0,4029
Adams,19003,2-NITROPROPANE,0.0,4029
Adams,19003,ACETALDEHYDE,9.1864652427e-05,4029
Adams,19003,ACETAMIDE,0.0,4029
Adams,19003,ACRYLONITRILE,0.0,4029
Adams,19003,ALLYL CHLORIDE,0.0,4029
Adams,19003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),9.3247943861e-05,4029
Adams,19003,BENZENE,0.006178425202795001,4029
Adams,19003,BENZYL CHLORIDE,0.0,4029
Adams,19003,BERYLLIUM COMPOUNDS,1.88413758e-07,4029
Adams,19003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,4029
Adams,19003,CADMIUM COMPOUNDS,5.2786611729999994e-05,4029
Adams,19003,CARBON TETRACHLORIDE,0.0,4029
