county,fips,pollutant,val
Aleutians East,02013,"1,3-BUTADIENE",0.040583708547269996
Aleutians East,02013,"1,4-DICHLOROBENZENE",5.6069739e-08
Aleutians East,02013,"2,4,6-TRICHLOROPHENOL",9.9997596e-08
Aleutians East,02013,ACETALDEHYDE,0.44417472470485203
Aleutians East,02013,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0114313449459
Aleutians East,02013,BENZENE,0.9456952501150501
Aleutians East,02013,BERYLLIUM COMPOUNDS,0.0033529851744000003
Aleutians East,02013,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),7.478744345e-06
Aleutians East,02013,CADMIUM COMPOUNDS,0.002757799521
Aleutians East,02013,CARBON TETRACHLORIDE,3.18
Aleutians East,02013,CHROMIUM VI (HEXAVALENT),0.004888795524
Aleutians East,02013,ETHYLBENZENE,0.000628653762596
Aleutians East,02013,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",4.99397912e-07
Aleutians East,02013,FORMALDEHYDE,1.4910577109620267
Aleutians East,02013,HEXACHLOROBENZENE,3.05156456e-06
Aleutians East,02013,METHYLENE CHLORIDE,0.003200046261771
Aleutians East,02013,NAPHTHALENE,0.10551241177461
Aleutians East,02013,NICKEL COMPOUNDS,0.012183594643200001
Aleutians East,02013,PAHPOM,0.023991261918334998
Aleutians East,02013,POLYCHLORINATED BIPHENYLS (AROCLORS),1.8173698e-06
Aleutians East,02013,TETRACHLOROETHYLENE,0.003380000221354
Aleutians East,02013,TRICHLOROETHYLENE,1.163089e-08
Aleutians West,02016,"1,3-BUTADIENE",0.052269171324123
Aleutians West,02016,"1,4-DICHLOROBENZENE",1.3491873999999999e-08
Aleutians West,02016,"2,4,6-TRICHLOROPHENOL",2.3861076e-08
Aleutians West,02016,ACETALDEHYDE,0.442967898224755
Aleutians West,02016,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.023841027494871003
Aleutians West,02016,BENZENE,0.9480752696816941
Aleutians West,02016,BERYLLIUM COMPOUNDS,0.0043584498001359995
Aleutians West,02016,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),1.7727881090000002e-06
Aleutians West,02016,CADMIUM COMPOUNDS,0.0033938985113560003
Aleutians West,02016,CARBON TETRACHLORIDE,3.18
Aleutians West,02016,CHROMIUM VI (HEXAVALENT),0.021157627008994
Aleutians West,02016,ETHYLBENZENE,0.000941963480097
Aleutians West,02016,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",6.4397016e-08
Aleutians West,02016,FORMALDEHYDE,1.4841499148175632
Aleutians West,02016,HEXACHLOROBENZENE,7.332723979999999e-07
Aleutians West,02016,METHYLENE CHLORIDE,0.00320083685216
Aleutians West,02016,NAPHTHALENE,0.107106807161313
Aleutians West,02016,NICKEL COMPOUNDS,0.057811823186330005
Aleutians West,02016,PAHPOM,0.025491158590493997
Aleutians West,02016,POLYCHLORINATED BIPHENYLS (AROCLORS),4.52081485e-07
Aleutians West,02016,TETRACHLOROETHYLENE,0.003402984645012
Aleutians West,02016,TRICHLOROETHYLENE,0.001220170231631
Anchorage,02020,"1,1,2-TRICHLOROETHANE",8.036451e-09
Anchorage,02020,"1,3-BUTADIENE",2.735079122602985
Anchorage,02020,"1,3-DICHLOROPROPENE",1.668546e-09
Anchorage,02020,"1,4-DICHLOROBENZENE",1.037024897e-06
Anchorage,02020,"2,4,6-TRICHLOROPHENOL",1.851310001e-06
Anchorage,02020,ACETALDEHYDE,1.0063240728909508
Anchorage,02020,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.09353467965493
Anchorage,02020,BENZENE,5.3987417058648015
Anchorage,02020,BERYLLIUM COMPOUNDS,0.017810057437373003
Anchorage,02020,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.000133828115493
Anchorage,02020,CADMIUM COMPOUNDS,0.014888006953509999
Anchorage,02020,CARBON TETRACHLORIDE,3.180000000000001
Anchorage,02020,CHROMIUM VI (HEXAVALENT),0.009582687571700001
Anchorage,02020,ETHYLBENZENE,0.845319103104155
Anchorage,02020,ETHYLENE DIBROMIDE (DIBROMOETHANE),4.19661174e-07
Anchorage,02020,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.000231134526575
Anchorage,02020,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",5.95096e-10
Anchorage,02020,FORMALDEHYDE,6.6984782748806575
Anchorage,02020,HEXACHLOROBENZENE,4.284097490399999e-05
Anchorage,02020,METHYLENE CHLORIDE,0.003249102194521
Anchorage,02020,NAPHTHALENE,2.097470973725167
Anchorage,02020,NICKEL COMPOUNDS,0.031164430745571
Anchorage,02020,PAHPOM,0.670929842683186
Anchorage,02020,POLYCHLORINATED BIPHENYLS (AROCLORS),3.1036678600000003e-07
Anchorage,02020,TETRACHLOROETHYLENE,0.004731869957257999
Anchorage,02020,TRICHLOROETHYLENE,0.071117618571896
Anchorage,02020,VINYL CHLORIDE,5.3399069e-07
