county,fips,pollutant,val,population
Albany,56001,"1,1,2-TRICHLOROETHANE",0.0,36295
Albany,56001,"1,3-BUTADIENE",0.00018124580475700002,36295
Albany,56001,"1,3-DICHLOROPROPENE",0.0,36295
Albany,56001,"1,4-DICHLOROBENZENE",0.0,36295
Albany,56001,"1,4-DIOXANE",0.0,36295
Albany,56001,"2,4,6-TRICHLOROPHENOL",0.0,36295
Albany,56001,"2,4-DINITROTOLUENE",0.0,36295
Albany,56001,"2,4-TOLUENE DIISOCYANATE",0.0,36295
Albany,56001,2-NITROPROPANE,0.0,36295
Albany,56001,ACETALDEHYDE,0.00027538938890499996,36295
Albany,56001,ACETAMIDE,0.0,36295
Albany,56001,ACRYLONITRILE,0.0,36295
Albany,56001,ALLYL CHLORIDE,0.0,36295
Albany,56001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),8.302217238900001e-05,36295
Albany,56001,BENZENE,0.001819387477187,36295
Albany,56001,BENZYL CHLORIDE,0.0,36295
Albany,56001,BERYLLIUM COMPOUNDS,0.0,36295
Albany,56001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0,36295
Albany,56001,BROMOFORM,0.0,36295
Albany,56001,CADMIUM COMPOUNDS,0.0,36295
Albany,56001,CARBON TETRACHLORIDE,0.0,36295
Albany,56001,CHLOROPRENE,0.0,36295
Albany,56001,CHROMIUM VI (HEXAVALENT),2.98058215e-06,36295
Albany,56001,EPICHLOROHYDRIN,0.0,36295
Albany,56001,ETHYLBENZENE,5.331918607399999e-05,36295
Albany,56001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0,36295
Albany,56001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0,36295
Albany,56001,ETHYLENE OXIDE,0.0,36295
Albany,56001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0,36295
Albany,56001,FORMALDEHYDE,0.004329219289855,36295
Albany,56001,HEXACHLOROBENZENE,0.0,36295
Albany,56001,HEXACHLOROBUTADIENE,0.0,36295
Albany,56001,METHYL TERT-BUTYL ETHER,0.0,36295
Albany,56001,METHYLENE CHLORIDE,0.0,36295
Albany,56001,NAPHTHALENE,0.000284038891195,36295
Albany,56001,NICKEL COMPOUNDS,7.1545585043e-05,36295
Albany,56001,NITROBENZENE,0.0,36295
Albany,56001,O-TOLUIDINE,0.0,36295
Albany,56001,PAHPOM,6.0845862843999996e-05,36295
Albany,56001,PROPYLENE OXIDE,0.0,36295
Albany,56001,TETRACHLOROETHYLENE,0.0,36295
Albany,56001,TRICHLOROETHYLENE,0.0,36295
Albany,56001,VINYL CHLORIDE,0.0,36295
Big Horn,56003,"1,1,2-TRICHLOROETHANE",0.0,11668
