county,fips,pollutant,val
Adams,08001,"1,1,2-TRICHLOROETHANE",0.0
Adams,08001,"1,3-BUTADIENE",0.000601245548031
Adams,08001,"1,3-DICHLOROPROPENE",0.0
Adams,08001,"1,4-DICHLOROBENZENE",0.0
Adams,08001,"1,4-DIOXANE",0.0
Adams,08001,"2,4,6-TRICHLOROPHENOL",0.0
Adams,08001,"2,4-DINITROTOLUENE",0.0
Adams,08001,"2,4-TOLUENE DIISOCYANATE",0.0
Adams,08001,ACETALDEHYDE,0.0010578982859770002
Adams,08001,ACETAMIDE,0.0
Adams,08001,ACRYLONITRILE,0.0
Adams,08001,ANILINE,0.0
Adams,08001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),6.2473905441e-05
Adams,08001,BENZENE,0.002468036593153
Adams,08001,BENZYL CHLORIDE,0.0
Adams,08001,BERYLLIUM COMPOUNDS,0.0
Adams,08001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Adams,08001,BROMOFORM,0.0
Adams,08001,CADMIUM COMPOUNDS,0.0
Adams,08001,CARBON TETRACHLORIDE,0.0
Adams,08001,CHROMIUM VI (HEXAVALENT),6.883945808999999e-06
Adams,08001,ETHYLBENZENE,0.000150897181266
Adams,08001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Adams,08001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Adams,08001,ETHYLENE OXIDE,0.0
Adams,08001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Adams,08001,FORMALDEHYDE,0.013209473032853998
Adams,08001,HEXACHLOROBENZENE,0.0
Adams,08001,METHYL TERT-BUTYL ETHER,0.0
Adams,08001,METHYLENE CHLORIDE,0.0
Adams,08001,NAPHTHALENE,0.001205740545399
Adams,08001,NICKEL COMPOUNDS,1.8525765590000002e-05
Adams,08001,PAHPOM,0.00010310729692899998
Adams,08001,PENTACHLOROPHENOL,0.0
Adams,08001,PROPYLENE OXIDE,0.0
Adams,08001,TETRACHLOROETHYLENE,0.0
Adams,08001,TRICHLOROETHYLENE,0.0
Adams,08001,VINYL CHLORIDE,0.0
Alamosa,08003,"1,1,2-TRICHLOROETHANE",0.0
Alamosa,08003,"1,3-BUTADIENE",0.001026606542548
Alamosa,08003,"1,3-DICHLOROPROPENE",0.0
Alamosa,08003,"1,4-DICHLOROBENZENE",0.0
Alamosa,08003,"1,4-DIOXANE",0.0
Alamosa,08003,"2,4,6-TRICHLOROPHENOL",0.0
Alamosa,08003,"2,4-TOLUENE DIISOCYANATE",0.0
Alamosa,08003,ACETALDEHYDE,0.0017292359423639997
Alamosa,08003,ACETAMIDE,0.0
Alamosa,08003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.000189594114009
Alamosa,08003,BENZENE,0.0083116875926
Alamosa,08003,BERYLLIUM COMPOUNDS,0.0
Alamosa,08003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Alamosa,08003,CADMIUM COMPOUNDS,0.0
Alamosa,08003,CARBON TETRACHLORIDE,0.0
Alamosa,08003,CHROMIUM VI (HEXAVALENT),0.00018772956906799998
Alamosa,08003,ETHYLBENZENE,0.0002931589618
Alamosa,08003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Alamosa,08003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Alamosa,08003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Alamosa,08003,FORMALDEHYDE,0.027512973609619996
Alamosa,08003,HEXACHLOROBENZENE,0.0
Alamosa,08003,METHYLENE CHLORIDE,0.0
Alamosa,08003,NAPHTHALENE,0.0020199803314280003
Alamosa,08003,NICKEL COMPOUNDS,0.0005465390732080001
Alamosa,08003,PAHPOM,0.00029583567190699997
Alamosa,08003,TETRACHLOROETHYLENE,0.0
Alamosa,08003,VINYL CHLORIDE,0.0
Arapahoe,08005,"1,1,2-TRICHLOROETHANE",0.0
Arapahoe,08005,"1,3-BUTADIENE",0.00015527978552899998
Arapahoe,08005,"1,3-DICHLOROPROPENE",0.0
Arapahoe,08005,"1,4-DICHLOROBENZENE",0.0
Arapahoe,08005,"1,4-DIOXANE",0.0
Arapahoe,08005,"2,4,6-TRICHLOROPHENOL",0.0
Arapahoe,08005,"2,4-DINITROTOLUENE",0.0
Arapahoe,08005,"2,4-TOLUENE DIISOCYANATE",0.0
Arapahoe,08005,ACETALDEHYDE,0.00028169745267400003
Arapahoe,08005,ACETAMIDE,0.0
Arapahoe,08005,ACRYLONITRILE,0.0
Arapahoe,08005,ANILINE,0.0
Arapahoe,08005,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),1.5548953007e-05
Arapahoe,08005,BENZENE,0.0006742967992120001
Arapahoe,08005,BENZYL CHLORIDE,0.0
Arapahoe,08005,BERYLLIUM COMPOUNDS,0.0
Arapahoe,08005,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Arapahoe,08005,BROMOFORM,0.0
Arapahoe,08005,CADMIUM COMPOUNDS,0.0
Arapahoe,08005,CARBON TETRACHLORIDE,0.0
Arapahoe,08005,CHROMIUM VI (HEXAVALENT),2.9444378650000006e-06
Arapahoe,08005,ETHYLBENZENE,4.1106742937999995e-05
Arapahoe,08005,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Arapahoe,08005,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Arapahoe,08005,ETHYLENE OXIDE,0.0
Arapahoe,08005,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Arapahoe,08005,FORMALDEHYDE,0.004409671198722999
Arapahoe,08005,HEXACHLOROBENZENE,0.0
Arapahoe,08005,METHYL TERT-BUTYL ETHER,0.0
Arapahoe,08005,METHYLENE CHLORIDE,0.0
Arapahoe,08005,NAPHTHALENE,0.000290898330672
Arapahoe,08005,NICKEL COMPOUNDS,9.328122933e-06
Arapahoe,08005,PAHPOM,2.8010328112e-05
Arapahoe,08005,PENTACHLOROPHENOL,0.0
Arapahoe,08005,PROPYLENE OXIDE,0.0
Arapahoe,08005,TETRACHLOROETHYLENE,0.0
Arapahoe,08005,TRICHLOROETHYLENE,0.0
Arapahoe,08005,VINYL CHLORIDE,0.0
Archuleta,08007,"1,1,2-TRICHLOROETHANE",0.0
Archuleta,08007,"1,3-BUTADIENE",0.000109097296465
Archuleta,08007,"1,3-DICHLOROPROPENE",0.0
Archuleta,08007,"1,4-DICHLOROBENZENE",0.0
Archuleta,08007,"1,4-DIOXANE",0.0
Archuleta,08007,"2,4,6-TRICHLOROPHENOL",0.0
Archuleta,08007,"2,4-DINITROTOLUENE",0.0
Archuleta,08007,"2,4-TOLUENE DIISOCYANATE",0.0
Archuleta,08007,2-NITROPROPANE,0.0
Archuleta,08007,ACETALDEHYDE,0.000207822177222
Archuleta,08007,ACETAMIDE,0.0
Archuleta,08007,ACRYLONITRILE,0.0
Archuleta,08007,ALLYL CHLORIDE,0.0
Archuleta,08007,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.00020879111139799998
Archuleta,08007,BENZENE,0.001267989569451
Archuleta,08007,BENZYL CHLORIDE,0.0
Archuleta,08007,BERYLLIUM COMPOUNDS,0.0
Archuleta,08007,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Archuleta,08007,BROMOFORM,0.0
Archuleta,08007,CADMIUM COMPOUNDS,0.0
Archuleta,08007,CARBON TETRACHLORIDE,0.0
Archuleta,08007,CHLOROPRENE,0.0
Archuleta,08007,CHROMIUM VI (HEXAVALENT),0.000203417206783
Archuleta,08007,EPICHLOROHYDRIN,0.0
Archuleta,08007,ETHYLBENZENE,3.5170818454000005e-05
Archuleta,08007,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Archuleta,08007,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Archuleta,08007,ETHYLENE OXIDE,0.0
Archuleta,08007,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Archuleta,08007,FORMALDEHYDE,0.00363268115797
Archuleta,08007,HEXACHLOROBENZENE,0.0
Archuleta,08007,HEXACHLOROBUTADIENE,0.0
Archuleta,08007,METHYL TERT-BUTYL ETHER,0.0
Archuleta,08007,METHYLENE CHLORIDE,0.0
Archuleta,08007,NAPHTHALENE,0.000233830697141
Archuleta,08007,NICKEL COMPOUNDS,0.000210535873375
Archuleta,08007,NITROBENZENE,0.0
Archuleta,08007,O-TOLUIDINE,0.0
Archuleta,08007,PAHPOM,4.437830343600001e-05
Archuleta,08007,PROPYLENE OXIDE,0.0
Archuleta,08007,TETRACHLOROETHYLENE,0.0
Archuleta,08007,TRICHLOROETHYLENE,0.0
Archuleta,08007,VINYL CHLORIDE,0.0
Baca,08009,"1,1,2-TRICHLOROETHANE",0.0
Baca,08009,"1,3-BUTADIENE",0.00018874561140900002
Baca,08009,"1,3-DICHLOROPROPENE",0.0
Baca,08009,"1,4-DICHLOROBENZENE",0.0
Baca,08009,"1,4-DIOXANE",0.0
Baca,08009,"2,4,6-TRICHLOROPHENOL",0.0
Baca,08009,"2,4-DINITROTOLUENE",0.0
Baca,08009,"2,4-TOLUENE DIISOCYANATE",0.0
Baca,08009,2-NITROPROPANE,0.0
Baca,08009,ACETALDEHYDE,0.0004891589994300001
Baca,08009,ACETAMIDE,0.0
Baca,08009,ACRYLONITRILE,0.0
Baca,08009,ALLYL CHLORIDE,0.0
Baca,08009,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.001392565042675
Baca,08009,BENZENE,0.012345897008373997
Baca,08009,BENZYL CHLORIDE,0.0
Baca,08009,BERYLLIUM COMPOUNDS,0.0
Baca,08009,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Baca,08009,BROMOFORM,0.0
Baca,08009,CADMIUM COMPOUNDS,0.0
Baca,08009,CARBON TETRACHLORIDE,0.0
Baca,08009,CHLOROPRENE,0.0
Baca,08009,CHROMIUM VI (HEXAVALENT),0.000185245689833
Baca,08009,EPICHLOROHYDRIN,0.0
Baca,08009,ETHYLBENZENE,0.000124885235357
