county,fips,pollutant,val
Addison,50001,"1,1,2-TRICHLOROETHANE",0.0
Addison,50001,"1,3-BUTADIENE",0.0
Addison,50001,"1,4-DICHLOROBENZENE",0.001133544342336
Addison,50001,"1,4-DIOXANE",0.0
Addison,50001,"2,4,6-TRICHLOROPHENOL",0.0
Addison,50001,"2,4-DINITROTOLUENE",0.0
Addison,50001,"2,4-TOLUENE DIISOCYANATE",0.0
Addison,50001,2-NITROPROPANE,0.0
Addison,50001,ACETALDEHYDE,0.0013836200401470002
Addison,50001,ACETAMIDE,0.000135327509544
Addison,50001,ACRYLONITRILE,0.0
Addison,50001,ALLYL CHLORIDE,0.0
Addison,50001,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Addison,50001,BENZENE,0.000129302723242
Addison,50001,BENZYL CHLORIDE,0.0
Addison,50001,BERYLLIUM COMPOUNDS,0.0
Addison,50001,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Addison,50001,BROMOFORM,0.0
Addison,50001,CADMIUM COMPOUNDS,0.0
Addison,50001,CARBON TETRACHLORIDE,0.0
Addison,50001,CHLOROPRENE,0.0
Addison,50001,CHROMIUM VI (HEXAVALENT),0.0
Addison,50001,EPICHLOROHYDRIN,0.0
Addison,50001,ETHYLBENZENE,0.0
Addison,50001,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Addison,50001,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Addison,50001,ETHYLENE OXIDE,0.0
Addison,50001,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Addison,50001,FORMALDEHYDE,0.0
Addison,50001,HEXACHLOROBENZENE,0.0
Addison,50001,HEXACHLOROBUTADIENE,0.0
Addison,50001,METHYL TERT-BUTYL ETHER,0.0
Addison,50001,METHYLENE CHLORIDE,4.4949976200000003e-07
Addison,50001,NAPHTHALENE,0.0
Addison,50001,NICKEL COMPOUNDS,0.0
Addison,50001,NITROBENZENE,0.0
Addison,50001,O-TOLUIDINE,0.0
Addison,50001,PAHPOM,4.034252179e-06
Addison,50001,PENTACHLOROPHENOL,0.0
Addison,50001,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Addison,50001,PROPYLENE OXIDE,0.0
Addison,50001,TETRACHLOROETHYLENE,0.0
Addison,50001,TRICHLOROETHYLENE,0.0
Addison,50001,VINYL CHLORIDE,0.0
Bennington,50003,"1,1,2-TRICHLOROETHANE",0.0
Bennington,50003,"1,3-BUTADIENE",0.0
Bennington,50003,"1,3-DICHLOROPROPENE",0.0
Bennington,50003,"1,4-DICHLOROBENZENE",0.000506468647271
Bennington,50003,"1,4-DIOXANE",0.0
Bennington,50003,"2,4,6-TRICHLOROPHENOL",0.0
Bennington,50003,"2,4-DINITROTOLUENE",0.0
Bennington,50003,"2,4-TOLUENE DIISOCYANATE",0.0
Bennington,50003,2-NITROPROPANE,0.0
Bennington,50003,4-DIMETHYLAMINOAZOBENZENE,0.0
Bennington,50003,ACETALDEHYDE,0.00022167513573199997
Bennington,50003,ACETAMIDE,4.0939123533e-05
Bennington,50003,ACRYLAMIDE,0.0
Bennington,50003,ACRYLONITRILE,0.0
Bennington,50003,ALLYL CHLORIDE,0.0
Bennington,50003,ANILINE,0.0
Bennington,50003,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Bennington,50003,BENZENE,5.8364376685000004e-05
Bennington,50003,BENZIDINE,0.0
Bennington,50003,BENZYL CHLORIDE,0.0
Bennington,50003,BERYLLIUM COMPOUNDS,0.0
Bennington,50003,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
Bennington,50003,BROMOFORM,0.0
Bennington,50003,CADMIUM COMPOUNDS,0.0
Bennington,50003,CARBON TETRACHLORIDE,0.0
Bennington,50003,CHLOROPRENE,0.0
Bennington,50003,CHROMIUM VI (HEXAVALENT),0.0
Bennington,50003,EPICHLOROHYDRIN,0.0
Bennington,50003,ETHYL CARBAMATE (URETHANE) CHLORIDE (CHLOROETHANE),0.0
Bennington,50003,ETHYLBENZENE,0.0
Bennington,50003,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
Bennington,50003,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
Bennington,50003,ETHYLENE OXIDE,0.0
Bennington,50003,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
Bennington,50003,FORMALDEHYDE,0.0
Bennington,50003,HEXACHLOROBENZENE,0.0
Bennington,50003,HEXACHLOROBUTADIENE,0.0
Bennington,50003,METHYL TERT-BUTYL ETHER,0.0
Bennington,50003,METHYLENE CHLORIDE,2.2058571899999997e-07
Bennington,50003,NAPHTHALENE,0.0
Bennington,50003,NICKEL COMPOUNDS,0.0
