state,id,pollutant,val
AK,2,"1,1,2-TRICHLOROETHANE",2.499188040025e-05
AK,2,"1,3-BUTADIENE",8.174860023307692e-05
AK,2,"1,3-DICHLOROPROPENE",5.19163953025e-06
AK,2,"1,4-DICHLOROBENZENE",5.351163904641026e-06
AK,2,"2,4,6-TRICHLOROPHENOL",0.0
AK,2,"2,4-DINITROTOLUENE",0.0
AK,2,ACETALDEHYDE,6.556253994453846e-05
AK,2,ACRYLONITRILE,0.0070145760776115
AK,2,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0021050192580304612
AK,2,BENZENE,0.0006486120900028206
AK,2,BENZYL CHLORIDE,0.0
AK,2,BERYLLIUM COMPOUNDS,5.9904046347102576e-05
AK,2,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),0.0
AK,2,BROMOFORM,0.0
AK,2,CADMIUM COMPOUNDS,0.002772362541799154
AK,2,CARBON TETRACHLORIDE,5.8225932923076924e-08
AK,2,CHROMIUM VI (HEXAVALENT),6.953560655910256e-05
AK,2,ETHYLBENZENE,0.00012718071836353845
AK,2,ETHYLENE DIBROMIDE (DIBROMOETHANE),3.851273464111111e-06
AK,2,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",2.0488047172631575e-05
AK,2,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",4.70926475054e-05
AK,2,FORMALDEHYDE,0.0040152563915426655
AK,2,HEXACHLOROBENZENE,0.0
AK,2,METHYL TERT-BUTYL ETHER,0.0
AK,2,METHYLENE CHLORIDE,3.1365129956410256e-07
AK,2,NAPHTHALENE,0.000693419953083923
AK,2,NICKEL COMPOUNDS,2.7562030979025648e-05
AK,2,PAHPOM,3.329817479038461e-05
AK,2,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
AK,2,TETRACHLOROETHYLENE,2.5340452236153847e-06
AK,2,TRICHLOROETHYLENE,2.799646060366667e-05
AK,2,VINYL CHLORIDE,0.0005017125853812
AL,1,"1,1,2-TRICHLOROETHANE",0.003748278185851866
AL,1,"1,2-DIBROMO-3-CHLOROPROPANE",1.63535401711e-05
AL,1,"1,3-BUTADIENE",0.0012820517105761344
AL,1,"1,3-DICHLOROPROPENE",0.00011498990029136063
AL,1,"1,4-DICHLOROBENZENE",0.0009178881956064925
AL,1,"1,4-DIOXANE",5.236522620940299e-06
AL,1,"2,4,6-TRICHLOROPHENOL",2.9753731343283585e-13
AL,1,"2,4-DINITROTOLUENE",1.4533236061940298e-06
AL,1,"2,4-TOLUENE DIISOCYANATE",4.86378677435821e-06
AL,1,2-NITROPROPANE,0.0
AL,1,ACETALDEHYDE,0.010976544374378972
AL,1,ACETAMIDE,0.0
AL,1,ACRYLAMIDE,0.00181870925213787
AL,1,ACRYLONITRILE,0.0822197410248053
AL,1,ALLYL CHLORIDE,9.102431617014924e-06
AL,1,ANILINE,0.0002876021681446279
AL,1,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.019354920016915855
AL,1,BENZENE,0.025884304298815303
AL,1,BENZYL CHLORIDE,0.00024271044812294024
AL,1,BERYLLIUM COMPOUNDS,0.0008458387123522239
AL,1,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),7.374895786286571e-05
AL,1,BROMOFORM,2.0873972826399997e-06
AL,1,CADMIUM COMPOUNDS,0.007272140472243297
AL,1,CARBON TETRACHLORIDE,0.0005278758003310598
AL,1,CHLOROPRENE,2.6612500095134326e-05
AL,1,CHROMIUM VI (HEXAVALENT),0.17663697905051712
AL,1,COKE OVEN EMISSIONS,0.47528359631811146
AL,1,EPICHLOROHYDRIN,9.67606454480597e-06
AL,1,ETHYLBENZENE,0.004981835295374134
AL,1,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.004734993911198567
AL,1,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.002334106700758269
AL,1,ETHYLENE OXIDE,0.03713285519018066
AL,1,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.00010332613751253732
AL,1,FORMALDEHYDE,0.04358314817897266
AL,1,HEXACHLOROBENZENE,1.4990279897164177e-06
AL,1,HEXACHLOROBUTADIENE,2.283722044776119e-09
AL,1,METHYL TERT-BUTYL ETHER,1.4716177043149256e-05
AL,1,METHYLENE CHLORIDE,0.0013176512690436717
AL,1,NAPHTHALENE,0.015885993328101877
AL,1,NICKEL COMPOUNDS,0.033485203792506794
AL,1,NITROBENZENE,0.00061818209529003
AL,1,O-TOLUIDINE,0.00017839375755550742
AL,1,PAHPOM,0.0023166518563944773
AL,1,PENTACHLOROPHENOL,1.6125243135131147e-05
AL,1,POLYCHLORINATED BIPHENYLS (AROCLORS),1.1678067875526316e-06
AL,1,PROPYLENE OXIDE,8.468154959797019e-05
AL,1,TETRACHLOROETHYLENE,0.0010387471342727466
AL,1,TRICHLOROETHYLENE,0.004518936734994984
AL,1,VINYL CHLORIDE,0.002238312442484956
AR,5,"1,1,2-TRICHLOROETHANE",0.0003219594877967868
AR,5,"1,2,3,4,5,6-HEXACHLOROCYCLYHEXANE",5.152200620179999e-05
AR,5,"1,2-DIBROMO-3-CHLOROPROPANE",0.12015766000613785
AR,5,"1,3-BUTADIENE",0.0014363605723174933
AR,5,"1,3-DICHLOROPROPENE",2.4142300274493147e-05
AR,5,"1,4-DICHLOROBENZENE",0.00037744890595249326
AR,5,"1,4-DIOXANE",0.00028110509859288003
AR,5,"2,4,6-TRICHLOROPHENOL",4.720136466666667e-09
AR,5,"2,4-DINITROTOLUENE",5.263165580039999e-06
AR,5,"2,4-TOLUENE DIAMINE",0.043408983542441285
AR,5,"2,4-TOLUENE DIISOCYANATE",0.00031715034347590666
AR,5,2-NITROPROPANE,0.00010156632265314664
AR,5,"4,4'-METHYLENEDIANILINE",0.0012425865155275787
AR,5,ACETALDEHYDE,0.010110460458474772
AR,5,ACETAMIDE,0.0
AR,5,ACRYLAMIDE,0.04473542518025917
AR,5,ACRYLONITRILE,0.006134741882216708
AR,5,ALLYL CHLORIDE,2.7597288367013333e-05
AR,5,ANILINE,0.0006522324849295599
